"outcome","predictor","term","estimate","category"
"choice_prop","stress_binary","alc_exp_buzzYes:stress_binary",0.0167019845416289,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_better_moodYes:stress_binary",0.0121956695918514,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_energeticYes:stress_binary",-0.000260669188655003,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_hangoverYes:stress_binary",-0.0101337472957931,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_embarrassedYes:stress_binary",-0.00019625296175862,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_be_rudeYes:stress_binary",-0.00456247889270763,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_nauseous_vomitYes:stress_binary",-0.0277938861664459,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_exp_injuryYes:stress_binary",0.000508585409413889,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_mot_copingYes:stress_binary",-0.000263266136941416,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_mot_socialYes:stress_binary",-4.83773644097286e-05,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_mot_enhanceYes:stress_binary",0.00831278304142751,"Interaction with focal predictor"
"choice_prop","stress_binary","locationhome:stress_binary",-8.6112479688512e-05,"Interaction with focal predictor"
"choice_prop","stress_binary","locationother:stress_binary",0.000254669273938932,"Interaction with focal predictor"
"choice_prop","stress_binary","locationoutdoors:stress_binary",-0.00010306729468146,"Interaction with focal predictor"
"choice_prop","stress_binary","locationrestaurant_cafe:stress_binary",0.0355110777934072,"Interaction with focal predictor"
"choice_prop","stress_binary","locationschool_work:stress_binary",-0.00485446610960809,"Interaction with focal predictor"
"choice_prop","stress_binary","locationsomeone_elses_home:stress_binary",-0.0006416327625459,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_aloneYes:stress_binary",0.0117625196050988,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_friend_roommateYes:stress_binary",-0.0010616298631209,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_romantic_partnerYes:stress_binary",-0.000472776472583906,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_familyYes:stress_binary",-0.00961554372671859,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_coworker_classmateYes:stress_binary",0.000580305000946802,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_strangerYes:stress_binary",0.0408146698984031,"Interaction with focal predictor"
"choice_prop","stress_binary","social_context_otherYes:stress_binary",-0.0148056617142915,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_cueindirectly_visible:stress_binary",-0.0259123865223216,"Interaction with focal predictor"
"choice_prop","stress_binary","alc_cuenone:stress_binary",0.000310440169765987,"Interaction with focal predictor"
"choice_prop","stress_binary","responsibilityYes:stress_binary",0.000342555856099867,"Interaction with focal predictor"
"choice_prop","stress_binary","day_of_weekMon:stress_binary",0,"Interaction with focal predictor"
"choice_prop","stress_binary","day_of_weekSat:stress_binary",-5.76529681135846e-05,"Interaction with focal predictor"
"choice_prop","stress_binary","day_of_weekSun:stress_binary",-1.51348632635845e-05,"Interaction with focal predictor"
"choice_prop","stress_binary","day_of_weekThu:stress_binary",0.000325314094912092,"Interaction with focal predictor"
"choice_prop","stress_binary","day_of_weekTue:stress_binary",8.48905152974434e-05,"Interaction with focal predictor"
"choice_prop","stress_binary","day_of_weekWed:stress_binary",0.000273907830401153,"Interaction with focal predictor"
"choice_prop","stress_binary","time_of_dayevening:stress_binary",0.0187851846049116,"Interaction with focal predictor"
"median_rt","stress_binary","(Intercept)",0.763737901913692,"Intercept"
"median_rt","stress_binary","alc_yday",0.00568328330327772,"Covariate main effect"
"median_rt","stress_binary","soft_yday",0.00116144650746001,"Covariate main effect"
"median_rt","stress_binary","alc_today",0.00417500894766706,"Covariate main effect"
"median_rt","stress_binary","soft_today",0.00584036858428602,"Covariate main effect"
"median_rt","stress_binary","alc_intend",0.00709210067134737,"Covariate main effect"
"median_rt","stress_binary","soft_intend",-0.00363161049920227,"Covariate main effect"
"median_rt","stress_binary","thirst_state",-0.000288126010344488,"Covariate main effect"
"median_rt","stress_binary","hunger_state",-0.00263798801008095,"Covariate main effect"
"median_rt","stress_binary","tired_state",0.00299332292709832,"Covariate main effect"
"median_rt","stress_binary","bored_state",-0.0112787443087055,"Covariate main effect"
"median_rt","stress_binary","alc_craving",-0.00187963468347293,"Covariate main effect"
"median_rt","stress_binary","soft_craving",-0.00933858312045604,"Covariate main effect"
"median_rt","stress_binary","alc_exp_relaxedYes",0.0401240818814725,"Covariate main effect"
"median_rt","stress_binary","alc_exp_sociableYes",-0.0108226627614475,"Covariate main effect"
"median_rt","stress_binary","alc_exp_buzzYes",0.00212462971248673,"Covariate main effect"
"median_rt","stress_binary","alc_exp_better_moodYes",-0.000450522647610873,"Covariate main effect"
"median_rt","stress_binary","alc_exp_energeticYes",-0.013420899194226,"Covariate main effect"
"median_rt","stress_binary","alc_exp_hangoverYes",-0.0264449715559245,"Covariate main effect"
"median_rt","stress_binary","alc_exp_embarrassedYes",-0.0453682713190706,"Covariate main effect"
"median_rt","stress_binary","alc_exp_be_rudeYes",-0.0354774075931399,"Covariate main effect"
"median_rt","stress_binary","alc_exp_nauseous_vomitYes",-0.0327846082647335,"Covariate main effect"
"median_rt","stress_binary","alc_exp_injuryYes",-0.0671695412145133,"Covariate main effect"
"median_rt","stress_binary","alc_mot_copingYes",-0.00867418128346103,"Covariate main effect"
"median_rt","stress_binary","alc_mot_socialYes",0.000120813443629535,"Covariate main effect"
"median_rt","stress_binary","alc_mot_enhanceYes",0.00903851891783503,"Covariate main effect"
"median_rt","stress_binary","locationhome",0.017463251826357,"Covariate main effect"
"median_rt","stress_binary","locationother",0.000273389856615717,"Covariate main effect"
"median_rt","stress_binary","locationoutdoors",-0.0109200066468918,"Covariate main effect"
"median_rt","stress_binary","locationrestaurant_cafe",-0.0327801488589506,"Covariate main effect"
"median_rt","stress_binary","locationschool_work",-0.0261818779296674,"Covariate main effect"
"median_rt","stress_binary","locationsomeone_elses_home",0,"Covariate main effect"
"median_rt","stress_binary","social_context_aloneYes",0,"Covariate main effect"
"median_rt","stress_binary","social_context_friend_roommateYes",-0.0229713240079046,"Covariate main effect"
"median_rt","stress_binary","social_context_romantic_partnerYes",0,"Covariate main effect"
"median_rt","stress_binary","social_context_familyYes",-0.0114473954162887,"Covariate main effect"
"median_rt","stress_binary","social_context_coworker_classmateYes",-0.0180798053466951,"Covariate main effect"
"median_rt","stress_binary","social_context_strangerYes",0.00112747967972917,"Covariate main effect"
"median_rt","stress_binary","social_context_otherYes",0,"Covariate main effect"
"median_rt","stress_binary","alc_cueindirectly_visible",-0.018287743834698,"Covariate main effect"
"median_rt","stress_binary","alc_cuenone",-0.0187109737648731,"Covariate main effect"
"median_rt","stress_binary","responsibilityYes",-0.0304767485922674,"Covariate main effect"
"median_rt","stress_binary","day_of_weekMon",0,"Covariate main effect"
"median_rt","stress_binary","day_of_weekSat",-0.00268547447860709,"Covariate main effect"
"median_rt","stress_binary","day_of_weekSun",-0.00516666726411717,"Covariate main effect"
"median_rt","stress_binary","day_of_weekThu",0,"Covariate main effect"
"median_rt","stress_binary","day_of_weekTue",-0.00415160824484196,"Covariate main effect"
"median_rt","stress_binary","day_of_weekWed",0.00716640351426003,"Covariate main effect"
"median_rt","stress_binary","time_of_dayevening",-0.00659308269927586,"Covariate main effect"
"median_rt","stress_binary","stress_binary",-0.000106673318857514,"Focal predictor"
"median_rt","stress_binary","alc_yday:stress_binary",0.00315656945808785,"Interaction with focal predictor"
"median_rt","stress_binary","soft_yday:stress_binary",0.00534415823371875,"Interaction with focal predictor"
"median_rt","stress_binary","alc_today:stress_binary",0,"Interaction with focal predictor"
"median_rt","stress_binary","soft_today:stress_binary",0.00840839093438775,"Interaction with focal predictor"
"median_rt","stress_binary","alc_intend:stress_binary",0.00633421267852035,"Interaction with focal predictor"
"median_rt","stress_binary","soft_intend:stress_binary",0.00318042358512068,"Interaction with focal predictor"
"median_rt","stress_binary","thirst_state:stress_binary",0.00186542897568239,"Interaction with focal predictor"
"median_rt","stress_binary","hunger_state:stress_binary",0.00189270283534411,"Interaction with focal predictor"
"median_rt","stress_binary","tired_state:stress_binary",-0.000304187928653124,"Interaction with focal predictor"
"median_rt","stress_binary","bored_state:stress_binary",-0.00725152083523909,"Interaction with focal predictor"
"median_rt","stress_binary","alc_craving:stress_binary",0.000559077542044526,"Interaction with focal predictor"
"median_rt","stress_binary","soft_craving:stress_binary",-0.000386550944562652,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_relaxedYes:stress_binary",0.0240809264607576,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_sociableYes:stress_binary",-0.00152509669639249,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_buzzYes:stress_binary",-0.000573872727926342,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_better_moodYes:stress_binary",-0.00186770326781767,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_energeticYes:stress_binary",-0.00614166135005388,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_hangoverYes:stress_binary",-0.0136815009357134,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_embarrassedYes:stress_binary",-0.0312343471565019,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_be_rudeYes:stress_binary",-0.0173498359146053,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_nauseous_vomitYes:stress_binary",-0.0213656138154846,"Interaction with focal predictor"
"median_rt","stress_binary","alc_exp_injuryYes:stress_binary",-0.0661331721790472,"Interaction with focal predictor"
"median_rt","stress_binary","alc_mot_copingYes:stress_binary",-0.00150184135810011,"Interaction with focal predictor"
"median_rt","stress_binary","alc_mot_socialYes:stress_binary",0.00914453141990348,"Interaction with focal predictor"
"median_rt","stress_binary","alc_mot_enhanceYes:stress_binary",-0.00241470178399142,"Interaction with focal predictor"
"median_rt","stress_binary","locationhome:stress_binary",-0.000359958959771945,"Interaction with focal predictor"
"median_rt","stress_binary","locationother:stress_binary",-0.0002263484417286,"Interaction with focal predictor"
"median_rt","stress_binary","locationoutdoors:stress_binary",0.00685625961038606,"Interaction with focal predictor"
"median_rt","stress_binary","locationrestaurant_cafe:stress_binary",0.00830400068333572,"Interaction with focal predictor"
"median_rt","stress_binary","locationschool_work:stress_binary",-0.000314644168835157,"Interaction with focal predictor"
"median_rt","stress_binary","locationsomeone_elses_home:stress_binary",-0.0002830751234973,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_aloneYes:stress_binary",-0.001719356727742,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_friend_roommateYes:stress_binary",0.00523783804037641,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_romantic_partnerYes:stress_binary",-0.0099825261897417,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_familyYes:stress_binary",-0.000436535167015922,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_coworker_classmateYes:stress_binary",0.00040354051400374,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_strangerYes:stress_binary",0.0164976312699691,"Interaction with focal predictor"
"median_rt","stress_binary","social_context_otherYes:stress_binary",0,"Interaction with focal predictor"
"median_rt","stress_binary","alc_cueindirectly_visible:stress_binary",0,"Interaction with focal predictor"
"median_rt","stress_binary","alc_cuenone:stress_binary",-0.000983523531539224,"Interaction with focal predictor"
"median_rt","stress_binary","responsibilityYes:stress_binary",-0.00120966822180112,"Interaction with focal predictor"
"median_rt","stress_binary","day_of_weekMon:stress_binary",-0.00106518425753328,"Interaction with focal predictor"
"median_rt","stress_binary","day_of_weekSat:stress_binary",-0.00538637121256219,"Interaction with focal predictor"
"median_rt","stress_binary","day_of_weekSun:stress_binary",-0.0117234525946561,"Interaction with focal predictor"
"median_rt","stress_binary","day_of_weekThu:stress_binary",0.0155841355395774,"Interaction with focal predictor"
"median_rt","stress_binary","day_of_weekTue:stress_binary",-0.000916587313809258,"Interaction with focal predictor"
"median_rt","stress_binary","day_of_weekWed:stress_binary",0.00373781142013635,"Interaction with focal predictor"
"median_rt","stress_binary","time_of_dayevening:stress_binary",-0.0105681769526795,"Interaction with focal predictor"
"drift","stress_binary","(Intercept)",0.365505806499469,"Intercept"
"drift","stress_binary","alc_yday",0.00183988729635593,"Covariate main effect"
"drift","stress_binary","soft_yday",-0.00427343153511877,"Covariate main effect"
"drift","stress_binary","alc_today",-0.000467250412795651,"Covariate main effect"
"drift","stress_binary","soft_today",-0.00624636968608882,"Covariate main effect"
"drift","stress_binary","alc_intend",0.00616230608985926,"Covariate main effect"
"drift","stress_binary","soft_intend",-0.00738163846251623,"Covariate main effect"
"drift","stress_binary","thirst_state",0.00304003792486798,"Covariate main effect"
"drift","stress_binary","hunger_state",0.00161056546315518,"Covariate main effect"
"drift","stress_binary","tired_state",0.00178954954459439,"Covariate main effect"
"drift","stress_binary","bored_state",0.00474176465623466,"Covariate main effect"
"drift","stress_binary","alc_craving",0.00669710928466212,"Covariate main effect"
"drift","stress_binary","soft_craving",-0.00264387477917803,"Covariate main effect"
"drift","stress_binary","alc_exp_relaxedYes",0.0282541174592329,"Covariate main effect"
"drift","stress_binary","alc_exp_sociableYes",-0.00861585031157218,"Covariate main effect"
"drift","stress_binary","alc_exp_buzzYes",0.00860201712468435,"Covariate main effect"
"drift","stress_binary","alc_exp_better_moodYes",0.0179942970962221,"Covariate main effect"
"drift","stress_binary","alc_exp_energeticYes",-0.000391762844918014,"Covariate main effect"
"drift","stress_binary","alc_exp_hangoverYes",-0.034238075260039,"Covariate main effect"
