"outcome","predictor","x_value","yhat"
"choice_prop","stress_binary","0",0.348535414418783
"choice_prop","stress_binary","0.0416666666666667",0.348535414418783
"choice_prop","stress_binary","0.0833333333333333",0.348535414418783
"choice_prop","stress_binary","0.125",0.348535414418783
"choice_prop","stress_binary","0.166666666666667",0.348535414418783
"choice_prop","stress_binary","0.208333333333333",0.348535414418783
"choice_prop","stress_binary","0.25",0.348535414418783
"choice_prop","stress_binary","0.291666666666667",0.348535414418783
"choice_prop","stress_binary","0.333333333333333",0.348535414418783
"choice_prop","stress_binary","0.375",0.348535414418783
"choice_prop","stress_binary","0.416666666666667",0.348535414418783
"choice_prop","stress_binary","0.458333333333333",0.348535414418783
"choice_prop","stress_binary","0.5",0.348535414418783
"choice_prop","stress_binary","0.541666666666667",0.369863479370248
"choice_prop","stress_binary","0.583333333333333",0.369863479370248
"choice_prop","stress_binary","0.625",0.369863479370248
"choice_prop","stress_binary","0.666666666666667",0.369863479370248
"choice_prop","stress_binary","0.708333333333333",0.369863479370248
"choice_prop","stress_binary","0.75",0.369863479370248
"choice_prop","stress_binary","0.791666666666667",0.369863479370248
"choice_prop","stress_binary","0.833333333333333",0.369863479370248
"choice_prop","stress_binary","0.875",0.369863479370248
"choice_prop","stress_binary","0.916666666666667",0.369863479370248
"choice_prop","stress_binary","0.958333333333333",0.369863479370248
"choice_prop","stress_binary","1",0.369863479370248
"median_rt","stress_binary","0",0.779565759681365
"median_rt","stress_binary","0.0416666666666667",0.779565759681365
"median_rt","stress_binary","0.0833333333333333",0.779565759681365
"median_rt","stress_binary","0.125",0.779565759681365
"median_rt","stress_binary","0.166666666666667",0.779565759681365
"median_rt","stress_binary","0.208333333333333",0.779565759681365
"median_rt","stress_binary","0.25",0.779565759681365
"median_rt","stress_binary","0.291666666666667",0.779565759681365
"median_rt","stress_binary","0.333333333333333",0.779565759681365
"median_rt","stress_binary","0.375",0.779565759681365
"median_rt","stress_binary","0.416666666666667",0.779565759681365
"median_rt","stress_binary","0.458333333333333",0.779565759681365
"median_rt","stress_binary","0.5",0.779565759681365
"median_rt","stress_binary","0.541666666666667",0.785427725125898
"median_rt","stress_binary","0.583333333333333",0.785427725125898
"median_rt","stress_binary","0.625",0.785427725125898
"median_rt","stress_binary","0.666666666666667",0.785427725125898
"median_rt","stress_binary","0.708333333333333",0.785427725125898
"median_rt","stress_binary","0.75",0.785427725125898
"median_rt","stress_binary","0.791666666666667",0.785427725125898
"median_rt","stress_binary","0.833333333333333",0.785427725125898
"median_rt","stress_binary","0.875",0.785427725125898
"median_rt","stress_binary","0.916666666666667",0.785427725125898
"median_rt","stress_binary","0.958333333333333",0.785427725125898
"median_rt","stress_binary","1",0.785427725125898
"drift","stress_binary","0",0.380919778766157
"drift","stress_binary","0.0416666666666667",0.380919778766157
"drift","stress_binary","0.0833333333333333",0.380919778766157
