subject,session,drift,alcbias,B,nondectime,negative_log_likelihood,hit_boundary,hit_boundary2,repr
1,1,0.6252078579528036,1.0371807101413582,0.8149274863241641,0.5185791198753715,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=83.20894293670727, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.6252078579528036, minval=-10, maxval=10), alcbias=Fitted(1.0371807101413582, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.8149274863241641, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.5185791198753715, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=83.20894293670727, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,2,0.5813999471613227,2.2842012483610685,0.8968656768726547,0.5172823642481548,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=21.30498554822084, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.5813999471613227, minval=-10, maxval=10), alcbias=Fitted(2.2842012483610685, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.8968656768726547, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.5172823642481548, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=21.30498554822084, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,3,0.41061781988110085,0.30805474227885143,0.9612197748130052,0.5396099518698689,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=192.80449221542875, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.41061781988110085, minval=-10, maxval=10), alcbias=Fitted(0.30805474227885143, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.9612197748130052, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.5396099518698689, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=192.80449221542875, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,4,0.34772226782356186,2.3922212752459857,0.9713936631513881,0.4511380308328526,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=2.8334082806259993, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.34772226782356186, minval=-10, maxval=10), alcbias=Fitted(2.3922212752459857, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.9713936631513881, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.4511380308328526, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=2.8334082806259993, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,5,0.08707199367093128,2.4923991389353843,0.865584137987754,0.3873014348961506,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=-38.51272414336367, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.08707199367093128, minval=-10, maxval=10), alcbias=Fitted(2.4923991389353843, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.865584137987754, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.3873014348961506, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=-38.51272414336367, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,6,-0.12702181879825866,2.5390093346118716,0.7719963981057886,0.40035707321092745,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=-55.90678341516927, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(-0.12702181879825866, minval=-10, maxval=10), alcbias=Fitted(2.5390093346118716, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.7719963981057886, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.40035707321092745, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=-55.90678341516927, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,7,0.5801585723632299,1.1793251714792181,0.9243539331169466,0.5405786382534208,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=95.49938832855456, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.5801585723632299, minval=-10, maxval=10), alcbias=Fitted(1.1793251714792181, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.9243539331169466, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.5405786382534208, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=95.49938832855456, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,8,0.713428927497921,0.9249268934086328,0.7294002879235748,0.5423417328570165,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=75.2243866699128, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.713428927497921, minval=-10, maxval=10), alcbias=Fitted(0.9249268934086328, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.7294002879235748, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.5423417328570165, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=75.2243866699128, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,9,0.15482383245132353,3.304133001704696,0.7480312922304173,0.4128474354281723,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=-110.12623553897699, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.15482383245132353, minval=-10, maxval=10), alcbias=Fitted(3.304133001704696, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.7480312922304173, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.4128474354281723, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=-110.12623553897699, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
1,10,0.6668916076579218,0.9106675314986106,0.7935620824742213,0.4807323939133893,"<bound method FitResult.value of FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=93.40423591794503, nparams=4, samplesize=160, mess='')>",False,,"Model(name='DDM model', drift=DriftValueBias(drift=Fitted(0.6668916076579218, minval=-10, maxval=10), alcbias=Fitted(0.9106675314986106, minval=-5, maxval=5)), noise=NoiseConstant(noise=1), bound=BoundConstant(B=Fitted(0.7935620824742213, minval=0.1, maxval=4)), IC=ICPointSourceCenter(), overlay=OverlayChain(overlays=[OverlayNonDecision(nondectime=Fitted(0.4807323939133893, minval=0, maxval=1)), OverlayUniformMixture(umixturecoef=0.02)]), dx=0.001, dt=0.001, T_dur=4, fitresult=FitResult(fitting_method='differential_evolution', method='auto', loss='Negative log likelihood', value=93.40423591794503, nparams=4, samplesize=160, mess=''), choice_names=('alc', 'soft'))"
